,top_score_synthetic,top_explanation_init_strs,explanation_init_ngrams,module_num,fmri_test_corr
36,0.025,"name ""andy warhol"" or a variation of it","['the andy warhol', 'andy warhol', 'different famous people', 'all the stores', 'chuck - e', 'the other thing', 'oranges to choose', 'andy warhol covers', 'something was up', 'stripes and', 'next and i', 'the weirdest thing', 'weirdest thing', 'now and and', 'tuesday and', 'what my favorite', 'thing of all', 'one other thing', 'remember how to', 'stripes and i', 'going to other', 'itchy and burning', ""e cheese 's"", 'christmas and halloween', 'out next and', 'and bad they', 'halloween and thanksgiving', 'that the books', 'the last thing', 'warhol covers', 'most of all', 'it it really', 'down the switchhook', 'other was', 'next and and', 'first thing that', 'uh and s', ""'s my favorite"", 'nose was all', 'and now now', 'birthdays and valentine', 'do next and', 'and behind me', 'know all the', 'how to draw', 'back and throw', ""n nick 's"", 'trying to gasp', 'cards from christmas', 'spike lee movies', 'the school newspaper', 'stick your hand', 'what was wrong', 'the thing about', 'you how to', ""applebee 's and"", 'at that time', ""valentine 's day"", 'that the church', 'remember buying and', ""i 'm renee"", 'where the time', 'because not only', 'and itchy and', 'all the dvds', 'sh you know', 'monday and', 'know what that', 'you know all', 'insanely i run', 'and find nick', 'there were things', 'vest and things', 'sh eyeshadow and', 'sure most important']",57,0.659
138,0.025,"activities that people do together, such as talking, arguing, making love, watching dvds, and having sex","['washing dishes my', 'no cars', 'holding hands and', 'things at home', 'the mail and', 'making love', 'do things', 'watching dvds and', 'now and then', 'thinking about things', 'talking and', 'yelling and', 'now and there', 'say things', 'doing things', 'chatting and', 'have sex and', 'washing dishes', 'what he says', 'his car and', 'do things and', 'the phone and', 'making love and', 'crying and stuff', 'at each other', 'made things', 'made love', 'things and we', 'june and june', 'with other women', 'walking around and', 'listened to them', 'his teeth and', 'drinking tea my', 'watching espn', 'having sex', 'laying there and', 'drinking a lot', 'the waves and', 'tease them and', 'liquor and sex', 'arguing and', 'make up and', 'their teacups', 'roads', 'phone calls', 'everything we did', 'the car and', 'the funeral and', 'three boys', 'watching television', 'the holidays everyone', 'making little things', 'the fields and', 'the hands and', 'their teacups and', 'watching espn and', 'drinking tea', 'sobbing and', 'with mom and', 'watch him drive', 'having things', 'two women', 'the telephone and', 'lap belts', 'at him and', 'silence and', 'had sex', 'having like this', 'the wedding and', 'hands and we', 'with each other', 'the summers in', 'his mouth and', 'something was up']",172,0.622
110,0.025,observation or action,"['friendly or', 'reported for duty', 'sticks his hand', 'walks in obviously', 'cute or friendly', 'laughing or crying', 'slept every night', 'had sex', 'walking by', 'friend of someone', 'answers the phone', 'phone call from', 'out of bed', 'bobs his head', 'so tight', 'enters the room', 'watching espn and', 'of the week', 'laying in bed', 'waiting for', 'watching her', 'watching dvds and', 'friend of mine', 'cell phone number', 'walking around', 'under the age', 'just snuggled up', 'walked right past', 'laughing or', 'walking along', 'of active duty', 'same age', 'astronaut and watched', 'hanging around', 'watching television', 'little kid who', 'love how', 'staffer', 'walked out', 'walking around and', 'you kidding i', 'rock and roll', 'really really really', 'a little child', 'a blood test', 'police', 'got more and', 'smiling and', 'held her', 'salvation army', 'in his twenties', 'piece of paper', 'reaches in her', 'phone rings and', 'walked around', 'walked in', 'the way he', 'comes home', 'instrument or singing', 'hanging out', 'religion or business', 'of bed or', 'walked away from', 'with someone or', 'walked in i', 'fell back asleep', 'you draw', 'of reserve duty', 'was so into', 'race what age', 'never ever played', 'your girlfriend or', 'or friendly or', 'answered the phone', 'health and']",59,0.658
124,0.024,"negative contractions, such as ""n't"" and ""wo n't""","[""n't you ever"", ""n't you think"", 'thing of all', ""n't ever"", ""n't just that"", ""n't you know"", 'side to side', ""n't mention that"", 'na ever see', ""n't it"", 'cause he thinks', 'fair to say', 'years go by', 'thing is', ""n't just"", 'june and june', 'weeks went by', ""wo n't say"", ""did n't ever"", 'week goes by', ""'d just say"", 'funny thing for', ""do n't ever"", ""'s just"", 'for a living', 'it turns out', ""'ve had to"", ""n't i never"", ""'ve certainly never"", ""n't imagine why"", ""n't you have"", ""'m telling you"", 'closet was because', ""'ll tell you"", 'true because i', 'shoulder to shoulder', 'you just see', ""'ve ever"", ""n't because"", ""n't imagine"", ""'ve never"", 'this is true', 'think he ever', 'you know because', ""n't until"", ""n't that"", 'thing to say', ""n't mean that"", ""n't until we"", ""n't actually"", ""you 've seen"", ""n't tell you"", ""n't ever like"", ""n't say you"", 'you mean i', 'dave winfield', 'anyway years go', 'hence tell you', ""'m sure that"", ""'ve done"", ""'s all"", ""'s just that"", ""'m sifting through"", 'eye and he', ""n't i just"", 'true for most', ""'s another thing"", 'thing you know', ""'ve had"", ""n't because i"", 'and i cry', ""wo n't apologize"", 'i ever stand', ""n't tell poor"", ""n't those""]",152,0.626
13,0.024,urban life,"[""o'clock rolls around"", ""let 's do"", 'united states navy', ""valentine 's day"", 'dakar', 'chlorine', 'progressively more undone', 'know downtown bohemians', ""o'clock"", 'harder and harder', 'personal property', 'zealous', 'chlorine in', 'abercormbie and', 'downtown bohemians', ""christ 's sake"", ""let 's go"", ""you 're awake"", ""five o'clock"", ""eleven o'clock"", 'up unannounced', ""it 's you"", ""where we 're"", ""let 's"", ""o'clock rolls"", 'bars and restaurants', 'abercrombie whatever and', ""hour 's gon"", 'dirt roads', 'states navy in', 'morning get up', 'downtown bohemians that', 'a curfew', 'ambulances firetrucks cops', 'i heard blowtorches', 'dakar and', 'a stoplight and', 'pandemonium and', ""nine o'clock rolls"", 'states navy', 'pence', 'hold of me', 'abercrombie', ""luka everybody 's"", ""let 's get"", 'shattered glass everywhere', 'wayward path as', 'so blissful months', 'blowtorches', 'where are you', ""i 'm raped"", 'unbelievably hot', 'outside of dakar', 'iodine', 'wake up', 'chlorine in my', ""dante 's inferno"", 'retarded', 'more and more', 'to a stoplight', 'pile of things', ""let 's play"", ""what 's happening"", ""o'clock uh"", 'come with me', 'louder and louder', ""we 're alive"", 'the whitney biennial', 'hypnotic ruh regimens', ""camps there 's"", ""nine o'clock"", ""who 's paroled"", ""what 's coming"", 'nooks crannies', 'so much more']",126,0.631
22,0.024,preparation,"['ra ra ra', 'this really happening', 'emanating from her', 'of wafted', 'really really into', 'emanating from', 'recognized who it', 'had just come', 'things that that', 'a a very', 'getting ready for', 'really should come', 'getting prepared for', 'that that give', 'picturing that i', 'picturing that', 'better known as', 'flies kind of', 'there to', 'should come with', 'up there rather', 'over the hill', 'had just saved', 'from spring training', 'that big a', 'comes walking towards', 'said a', 'this photosensitive', 'and started playing', 'those little', 'to the house', 'house but despite', 'mean everybody thinks', 'that her', 'shorts for the', 'would bug him', 'finally heard a', 'from across', 'was coming the', 'emanated this', 'it a voice', 'on a voice', 'this really', 'that somebody else', 'ba very bad', 'preparing for', 'said the', 'who it was', 'for him for', 'a very much', 'called photosensitive', 'this this', 'from across the', 'on this photosensitive', 'to the stadium', 'it this this', 'treading for', 'could be it', 'that that my', 'of wafted across', 'town waiting for', 'really hated him', 'girl because she', 'that somebody', 'really into', 'that your', 'heard a loud', 'she was wearing', 'a a really', 'emanated', 'that my butt', 'hamptons for this', 'this this whole', 'could still hear', 'na prepare this']",148,0.627
148,0.023,movement or action,"['had just landed', 'and over again', 'over and over', 'and now', 'but this time', 'and now now', 'and yet again', 'to a standstill', 'saved so much', 'horrible descent into', 'happened so fast', 'nantucket', 'atlanta georgia', 'atlanta', 'sticks his hand', 'jeep gets stolen', 'went off', 'this room and', 'bobs his head', 'and now it', 'providence rhode island', 'thoreau on', 'panic begins', 'tripped over', 'left leg', 'landed it', 'door opens and', 'york times is', 'air force', 'biafran wars', 'this horrible experience', 'threw myself', 'york yankees', 'threw it away', 'ra ra ra', 'my god and', 'terrible place', 'dallas cowboys belt', 'crashes over', 'this place', 'and now all', 'travelled all over', 'door opens', 'we made it', 'this whole thing', 'so fast', 'flown', 'panic begins to', 'threw it', 'this time', 'yankees and', 'hitting right fielder', 'thoreau and', 'sticks his', 'and this time', 'wall street journal', 'starts spinning and', 'here this', 'but then', 'gets tossed in', 'and now he', 'and here', 'machine and', 'thoreau on an', 'you goddamn fucking', 'actually knocked myself', 'very very bad', 'the yankees and', 'looks over at', 'and now my', 'rackets and screamed', 'this place and', 'fighting so hard', 'astronauts and', 'norman rockwell']",176,0.621
152,0.023,movement or action,"['spread cause', 'salmonella', 'and immediately it', 'perennially', 'it occurs to', 'in the fall', 'handset and', 'board of directors', 'there there', 'reuniting and', 'in tai chi', 'southern shore of', 'proofing problem and', 'salmonella poisoning because', 'backsliding', 'scrouts', 'really deep down', 'fusing', 'proofing', 'salmonella poisoning', 'going off', 'na still go', 'throwing money', 'shoulder and out', 'shit and i', 'you shoot it', 'reuniting and also', 'shake it i', 'having salmonella', 'shake it', 'immediately it', 'inflates', 'reuniting', 'butchering of it', 'opting', 'you go', 'to tai chi', 'shit and he', 'breaks the vice', 'cause sometimes', 'tai chi', 'deep within', 'mailing', 'conscientious objector', 'i catch it', 'but yeah go', 'backsliding and falling', 'there it', 'handset and the', 'down and it', 'giving out', 'the southern shore', 'choke on', 'photosensitive', 'starts gunning it', 'butchering of', 'begins to hang', 'candidate soon', 'kill you it', 'actuarial science', 'its affairs', 'main rotor blade', 'tai chi in', 'losing in the', 'length of', 'modeling of', 'holder and gets', 'shit what', 'proofing problem', 'shoulder of', 'the leaves', 'a conscientious objector', 'so there i', 'business it', 'clubhouse mattingly winks']",105,0.639
117,0.023,"phrase ""cg}""","['cg } {', 'cg }', '} { cg', '{ cg', 'cg } so', '}   for', '} in', '{ cg }', 'away { cg', 'cg } we', 'cg } in', '} {', 'br } similarities', 'into my pocket', 'mean { cg', '}   so', '} so', 'it was sudden', '} similarities', 'know { cg', 'the little dress', 'physique', 'and { cg', 'cg } alright', 'little silver skirt', 'jt {', 'it was quite', 'whether', 'cg } i', 'send a copy', 'in my pocket', 'blaze { cg', 'home safely so', 'jt { cg', 'sudden insanely', 'home for', 'it was overwhelming', 'so tiny and', 'game { cg', 'and probability', '}', 'avatar { cg', 'so tight my', 'home soon', 'against', 'probability', 'quiet and', 'and so suddenly', 'it was clear', 'it was so', 'continually', 'if', 'so suddenly', 'maybe thirteen by', 'potential', 'check in', 'probability and', 'wear my blue', 'jersey at', 'check my pockets', 'ls }', 'worth', '} uh', 'sl }', 'for some reason', 'check out', 'hold', 'the physique', 'joy when', 'downwards towards', 'quick though so', 'when when when', 'home because', ""michael 's ode"", 'consider']",81,0.649
113,0.022,"activities or objects related to wellbeing, safety, and comfort","['wellbeing', 'wellbeing of', 'the wellbeing', 'wall street', 'reintegrated back into', ""because i 'm"", 'fully reintegrated', 'abercormbie and fitch', 'bathing suit', 'wellbeing of this', 'threw myself into', 'a bathing suit', 'bulletproof vest', 'the wellbeing of', 'lap belts', 'conscientious objector', 'zealous friend', 'to the wellbeing', 'phone rings and', 'i do it', 'water clears out', 'i whisper so', 'in harry potter', 'tried to help', 'zealous', 'conscientious', 'harry potter', 'he untangles and', 'wall street journal', 'an adrenaline junkie', 'kicks in', 'lucidity my senses', 'calls me', 'toothbrush toothpaste', 'because darth vader', 'conscientious objector i', 'zealous friend cornered', 'toothpaste', ""saint mary 's"", 'checklist canopy visor', 'relieving', 'a deep breath', 'i was bailing', 'bathing suit i', 'luka luka', 'car into neutral', 'darth vader', 'unbelievably', 'the wall street', 'shirt toothbrush toothpaste', 'door opens and', 'a conscientious', 'lap belt', 'adrenaline junkie i', 'because i am', 'fully reintegrated back', 'exorcising', 'letting down my', 'love backflipping my', 'lap belts on', 'completely embarrass me', 'darth vader is', 'crazed livid', ""i 'm fighting"", 'treated me for', ""i 'm i"", 'exting fire extinguisher', 'blah blah blah', 'deep breath i', 'because i realize', 'thoreau and i', 'helped me and', 'harry potter where', 'i still did', 'because i do']",99,0.64
29,0.022,a verb,"['little patricia arquette', 'ever was she', 'little patricia', 'yet have', 'what in my', 'up and was', 'and is i', 'up and up', 'and keep', 'al had', 'books to be', 'and so my', 'rid', 'david i had', 'began and so', 'liberty', '} and i', 'flying and yellow', 'always and', 'and i lay', 'up i always', 'ever he', 'for ever', 'down and in', 'books where', 'pink flag', 'and ribbons', 'and so when', 'ever and went', 'down and so', '} i continued', 'and but at', 'long as i', 'starts looking', 'so uh and', 'to what in', 'i have been', 'and so uh', 'down and not', 'than ever to', 'is i spend', '} she was', 'to always', 'to why', 'but have', 'and taken to', 'out aaaah', 'ever', 'well and never', 'only have', 'were i', 'i ever', 'up was', 'and so for', 'wear my blue', 'always be', 'and keep a', 'was i', 'and lay', 'hours and hours', 'little momma', 'and so just', 'down and', 'in my white', 'freedom i nee', 'swung around', 'was ever', 'riddance', 'began and', 'only was i', 'and began', 'always kept', 'how was', 'she ever was', 'than ever']",9,0.702
78,0.022,"""uh"" and ""um""","['uh and and', 'b', 'b he', 'it uh it', 'uh detective shows', 'he does i', 'and um do', 'ba ba', 'uh and uh', 'ca catching', 'do uh all', 'and uh in', 'i cr i', 'ba ba and', 'do um so', 'he did', 'do that i', 'lines a', 'me uh right', 'nine a m', 'i was watching', 'uh joints', 'she did', 'uh art', 'and um and', 'he did but', 'i just uh', 'and uh', 'wait i', 'detective shows', 'um uh and', 'uh she admitted', 'uh and not', 'and b he', 'my s.a.t', 'i do remember', 'na do about', 'me uh that', 'uh was right', 'and uh so', 'he did did', 'in uh yes', 'my shoulder mostly', 'i do that', 'that was weird', 'uh observation', 'i do i', 'and uh it', 'um and and', 'uh landing', 'goes i ca', 'wait so', 'and uh uh', 'uh so', 'i had and', 'uh and it', 'up uh and', 'ba very', 'try and', 'na do gesture', 'appoi uh appointments', 'uh bats', 'and um sam', 'which was very', 'growing up i', 'waking up', 'wanna do is', 'uh gets', 'in uh just', 'she had but', 'up uh my', 'i just', 'na do the', 'and b', 'i said yes']",32,0.674
70,0.022,"time, as many of them contain references to specific times (nine o'clock, eleven o'clock, five o'clock)","['me { sl', 'br } similarities', '{ ls', 'lunch and um', ""that 's all"", '{ sl', 'br }', 'it { sl', 'we all knew', ""nine o'clock rolls"", ""finished we 're"", 'and {', 'dad and um', ""you 're ready"", ""you 're awake"", ""we 've got"", ""'re all looking"", ""behind nine o'clock"", '{ ls )', 'results this is', 'we all felt', 'you goddamn fucking', 'we all thought', ""'re ready"", 'you are awake', 'it and um', ""hey we 're"", 'say n', 'that was all', ""waffles you 're"", ""you 've already"", 'checkout once again', 'iodine solution and', ""'re gone"", ""'s all"", ""'s and um"", 'away { cg', ""uh we 're"", ""'ve just unpacked"", 'we were up', ""eleven o'clock"", 'all stand up', ""nine o'clock"", ""ok we 're"", ""out you 're"", 'checks make sure', ""'re coming in"", ""five o'clock"", 'you doing here', ""o'clock rolls"", ""we 're psyched"", ""eleven o'clock uh"", ""at five o'clock"", ""well i 've"", 'we were staying', ""everybody else 's"", 'wha fuck', 'we were all', 'you all know', ""'re awake"", 'plus our own', ""they 've got"", 'check me', ""here you 're"", 'over our heads', ""everybody they 've"", ""'s all these"", 'sl }', 'we knew that', ""i 've got"", ""you 've you"", 'oh ok and', ""i 've just"", 'we we got', 'ang']",94,0.644
169,0.021,official documents and military service,"['official religion', 'of holidays in', 'official religion my', 'career {', 'the navy', '} i asked', '} i realize', 'our official religion', 'holidays in', 'na open', '} i continued', 'career { ls', 'letterhead official letterhead', 'official letterhead', 'pending so', 'toward cornell', 'pending', 'physique', ""i 'd like"", 'dave winfield and', 'into a career', 'to naval', 'evolutionary biology', 'wayward path as', '{ sl', 'college baseball he', 'fernando sanchez', 'obituary', 'wayward path', 'start thinking well', ""i 'm fluent"", 'diplomatic', 'base stands', 'the grand tour', 'tennis', 'i like to', 'unannounced', 'prior to the', 'au pair', 'enjoyed my time', 'na excel drawing', 'letterhead official', 'mutually exclusive', 'on air force', 'is pending', 'french', '} so', '}   so', 'professional athlete', 'baseball he', 'the johnson space', 'prior to', 'dave winfield', ""i 've purchased"", 'pull yourself together', 'gasp for air', 'transitioned from', 'in my honor', 'and fernando sanchez', 'for social', 'na defend mike', 'betty white video', 'form birth certificate', 'reading at foyles', 'to achieve my', 'winfield and', 'affairs', 'hobby', 'unofficial faith', 'we can discuss', 'because we do', 'release from the', 'place african', 'transracial', 'swimmers ready']",122,0.634
62,0.021,"time, either through a specific date or time of year (february third, halloween and thanksgiving, easter), or through a reference to a specific length of time (weeks last thursday, end of each week, years recovering)","['sunday february third', 'skinned knee', 'february third', 'weeks this', 'freezing and i', 'week of', 'good and then', 'and tie on', 'ceiling and i', 'final piece', 'strong and then', 'two three', 'husband realize he', 'week of not', 'first pitch', 'final piece explodes', 'snow bank', 'weeks last thursday', 'weeks of', 'of the week', 'their necks the', 'weeks i', 'halloween and thanksgiving', 'tuesday and', 'e cheese', 'yankee game by', 'and knee', 'away { cg', 'underwear socks t', 'march walk', 'week and somebody', 'workplace on monday', 'before first pitch', 'thursday and', 'games by', 'kiss whispered', 'clouds no', 'hours outside', 'works every', 'defend mike', 'week bob', 'thirty foot', 'first pitch on', 'end of each', 'november two', 'easter', 'february third my', 'second skits', 'argue against', 'years recovering', 'depression and i', 'hands and i', 'word cause sometimes', 'thanksgiving and a', 'a skinned knee', 'release of tension', 'knee', 'their shoulders and', 'g string', 'over and i', 'teacher cause for', 'voice sounds a', 'and then finally', 'years i', 'cg } so', 'develop do', 'lower lower lower', 'fall for', 'weeks blind', 'shirt', 'three for five', 'thursday and joe', 'neck and i', 'thanksgiving after', 'around me']",65,0.655
96,0.021,"""there's""","[""'d say"", ""there 's the"", '.', ""camps there 's"", ""does n't it"", ""'d ask you"", ""here 's another"", 'goes on', 'which brings us', ""since there 's"", ""'s another thing"", 'by the way', ""'ll you"", ""'s like night"", ""n't mention that"", 'and goes', ""there 's such"", ""'d say it"", ""there 's all"", ""'d say i"", ""'s like springs"", ""i 'd say"", ""so there 's"", 'then and there', 'come the department', ""when there 's"", 'au pair garcon', ""here there 's"", ""there 's kind"", 'come you', ""'d just say"", 'so eh i', 'goes on and', ""later it 's"", ""do n't we"", ""minds they 're"", ""'s another"", ""n't so anyway"", ""'s like they"", ""do n't those"", ""eh it 's"", 'only puts us', ""there 's about"", 'later and came', ""'ll say"", ""'s been trying"", ""'s been"", ""does n't he"", ""'bout"", 'now and there', ""there 's brian"", 'you would say', 'then he comes', ""there 's frank"", 'and he goes', ""it 's called"", 'there than you', 'again and there', ""'s like this"", 'and here we', ""'s like why"", ""'s no doubt"", ""there 's like"", 'which are called', ""'ll they"", ""there 's just"", 'takes us', ""'s like it"", ""ago 'bout applying"", ""there 's my"", 'and we come', ""'s thousands"", ""everybody 's just"", 'there is such', ""'s been the""]",89,0.645
89,0.021,"a filler word, such as ""uh"" or ""um""","['priori who', 'why he', 'lower lower', 'the lieu of', 'why she', 'her very prized', 'lower lower lower', 'and uh she', 'do babies', 'and uh if', 'his locker so', 'young female', 'you uh i', 'her purse so', 'male au', 'priori', 'and uh he', 'and um i', 'married have', 'open the', 'and uh i', 'do i', 'like uh how', 'his locker and', 'his usual color', 'he uh', 'to uh the', 'her um and', 'do so um', 'have kids he', 'to um so', 'his new boyfriend', 'know why', 'na do about', 'offspring to', 'the uh anyway', 'have kids i', 'know even', 'had spent uh', 'about why um', 'sah so uh', 'to uh really', 'had uh i', 'and um she', 'admit that', 'should just', 'open what', 'female', 'his usual', 'this um this', 'even know how', 'and uh her', 'then uh', 'na mind', 'why um', 'a lateral', 'to see um', 'uh he', 'have a daughter', 'to why', 'um i so', 'before um', 'to get um', 'flat uh she', 'clean out the', 'to uh tell', 'stih', ""uh michael 's"", 'understand why he', 'his hand out', 'she uh she', 'that she uh', 'uh through', 'to um', 'his boyfriend so']",8,0.703
85,0.021,"money, as many of them contain words related to money such as ""pence"", ""pennies"", and ""twenty pence""","['pence', 'kilos of millet', 'pence in', 'macaroni and cheese', 'five pence', '}   for', 'on the kennedys', 'pennies from', 'hanging from a', 'twenty pence in', 'screen saver', 'until one day', 'i probably should', 'ace of the', 'pinstripe', ""i 'll take"", 'this final scene', '} in', 'pence i', 'bat stretcher', 'five pence i', ""i 'll tell"", ""director 's assistant"", ""let 's see"", 'twenty pence', 'oscar wilde', 'chlorine in', ""bruce weber 's"", '} similarities', 'i better call', 'could make macaroni', 'tennis rackets and', 'final scene and', 'final scene', 'screen saver comes', ""women 's opinions"", 'that nabokov influence', 'a poster of', ""valentine 's day"", 'maybe calligraphy', 'my final', 'some movie i', 'an aspirin', ""i 'll accept"", 'another thud and', 'cube steaks and', ""it 's late"", 'he finds out', 'high heels and', 'i unhooked my', 'lieu of hanging', 'nightmarish', 'around mid morning', 'existential despair thanks', 'camera angle', 'grunge', ""i 'll pitch"", 'in tai chi', 'the truth in', 'my final assignment', 'black or white', 'a calabash', 'cartwheels', 'class continues for', 'deja vu but', 'vegetable curry', 'balance of power', 'make macaroni and', 'the kennedys', 'charcoal and', 'options no hope', 'lot of weight', ""i 'd rather"", 'pence i think', 'nine a m']",196,0.615
136,0.02,incomplete sentences or phrases,"['we end up', 'they find the', 'you so um', 'museum of fine', 'in the united', 'birthday arrives and', 'mental health', 'he finds', 'around the country', 'they find', 'lax um chloe', 'happy to see', 'hip hip hurray', 'are out there', 'are just out', 'uh we move', 'out at the', 'you \n  um', 'you um', 'soon to be', 'they start training', 'away uh uh', 'going can we', 'hip hip', 'off in the', 'kim hip hip', 'texas he goes', 'uh last few', 'will be required', 'around the same', 'doctor um well', 'um uh thinking', 'uh at the', 'western mental health', 'um uh uh', 'uh well', 'out so uh', 'stores are open', 'grad work', 'things start', 'uh uh they', 'uh like two', 'uhh um', 'uhh um uhh', 'he offers to', 'um but um', 'uh well four', 'with the residents', 'you that um', 'this um this', 'wilson stephanie wilson', 'parents aiaiai', 'him uh but', 'up they are', 'starts drinking', 'he um', 'shoulder to shoulder', 'shock um we', 'uh we end', 'ready um for', 'uh right by', 'the last few', 'head to toe', 'um as we', 'with his research', 'he uh he', 'when they leave', 'chicken fights but', 'here um', 'eventually everyone is', 'bar fight in', 'when the students', 'marriage begins', 'around a little', 'go no']",52,0.662
69,0.02,"sports and baseball, specifically the new york yankees and the boston red sox","['background to', 'the red sox', 'prior to the', 'in right field', 'the tea party', ""writer 's guild"", 'new york yankees', 'universe the kennedys', 'dates with', 'victorian tea party', 'right fielder and', 'background to this', 'shoot at at', 'red sox', 'i was perusing', 'songs to', 'anything to distract', 'ls ) in', 'during the summers', 'calabash', 'sitting there going', 'dates in', 'got some paperwork', 'something was up', 'shows', 'stage to where', 'extra who decided', 'how was it', 'for the yankees', 'dates', 'hitting right fielder', 'clemens and the', 'right fielder', 'at home start', 'home start to', 'mickey mantle', 'the yankees', 'in the uk', 'dates in college', 'shoot at', 'stood still or', 'foyles in london', 'whatever was', 'johnson space center', 'girls theme', 'yankee games by', 'bed staring at', 'yankees win', 'whatever it was', 'just sitting there', 'these other guys', 'red sox clubhouse', 'to yankee games', 'um rufisque and', 'left handed hitter', 'dad or whatever', 'points needed to', 'batting average', 'england', 'best left handed', 'red sox on', 'bottles of wine', 'lobster and drawn', 'in the leg', 'records or', 'to draw', 'macaroni', 'sitting there staring', 'ancient latin', 'without the sats', 'theme song and', 'right handed bat', 'with the guys', 'wait wait hold', 'hamptons for this']",93,0.644
172,0.019,a moment or event,"['the judges', 'condition and that', 'five points one', 'under the age', 'on one sixty', 'the pitching', 'points one', 'stage at twelve', 'swimmers ready', 'of the pitching', 'was the creative', 'stage under', 'song would be', 'the right fielder', 'being receiving', 'pilot points over', 'moment came', 'seen to this', 'moment came in', 'swimmers raise', 'machine on', 'could see was', 'stage you will', 'point the first', 'you ultimately ultimately', 'stage at about', 'ordered on complete', 'game starts', 'about w', 'chairs down', 'interior um to', 'time and c', 'remember as i', 'wine the first', 'people one', 'it was it', 'just it it', 'department of homeland', 'meal was finished', 'game starts in', 'first left', 'camera to tape', 'country twenty five', 'pilot being', 'stage is', 'maturity and the', 'signed the dotted', 'control and you', 'a brownout', 'moment you know', 'first first', 'age four', 'points over at', 'point in the', 'ultimately ultimately ultimately', 'writer i decided', 'point buck', 'agreement and next', 'it it it', 'never knew before', 'bob one', 'situation then', 'finally heard a', 'tape this', 'it it was', 'get what they', 'the creative', 'the articulation', 'in order', 'one sixty', 'thirty second', 'done and then', 'act all', 'experienced was flight', 'seat and i']",140,0.629
87,0.019,emergency situations,"['cg } in', ""you 're exorcising"", 'downhill main rotor', 'stand back up', 'handed bat stretcher', 'main rotor blade', 'slowly stand back', 'emergency drill it', 'enters the room', 'rotor blade is', '{ cg', 'cg } {', 'ford mercury zephyr', 'blaze { cg', 'mean { cg', 'one particularly zealous', '{ ls', 'cg } i', 'fire extinguisher and', 'deflect', 'fire extinguisher', 'it it it', ""it it 's"", 'thing turned out', 'and { cg', 'white house office', 'emergency room i', 'stand up', 'raise your hand', 'main rotor blades', 'into my room', ""'s no doubt"", 'come out and', 'jt { cg', 'hoax perpetrator culprit', 'exting fire extinguisher', 'walk back out', 'know { cg', '{ ls )', 'into the back', 'deflect um y', 'helicopter crash', '} { cg', 'oval office i', 'gear flight suit', 'ejected from the', 'mixed blessing in', 'easter blazer', 'the emergency room', 'peel out fishtail', 'away { cg', 'doors burst open', ""'s an emergency"", 'raise your hands', 'stand up and', 'miraculously found myself', 'off your visor', 'emergency drill', 'muddle things up', 'car pull away', 'screamed obscenities and', ""power it 's"", 'the whole thing', 'take it seriously', 'prompt support', 'walk out of', ""dressing room 's"", ""it 's just"", ""'s some kind"", 'morning get up', 'ophthavolg ba ophthalmologist', 'shirt toothbrush toothpaste', '{ cg }', 'core leadership team', 'lobby { cg']",127,0.631
41,0.019,"a feeling of chaos, confusion, or distress","['we make it', 'getting carried away', 'articulation', 'worrisome', 'sightseeing and', 'backsliding and falling', 'running all over', 'throwing napkins at', 'screamed obscenities and', ""i 'm falling"", 'marie claire magazine', 'the articulation', 'come on it', ""whether it 's"", ""time 's over"", 'sorry to interrupt', 'trying to wring', 'life is over', 'i try and', 'i call and', 'shattered glass everywhere', 'hopeless and pointless', 'turns me around', 'paramedics', 'worrisome person', 'alright come on', 'eagerness to feed', 'was so full', 'it smashes and', 'drive is excruciatingly', 'keep spinning but', 'matter how transgressive', 'like worrisome', 'roll so i', 'sit alright it', 'and screamed obscenities', 'parasailing', 'jerk forward', 'is excruciatingly slow', 'grabbed the trashbag', 'anytime you want', ""it 's true"", 'god i need', 'i plunge and', ""i 'm pulling"", 'ready to take', 'jeep gets stolen', 'ready to come', 'faster so i', 'more pragmatic', 'distance swim', 'sticky and itchy', 'i scream and', 'i ring it', 'articulation in the', 'wrong way was', 'with someone or', 'articulation in', 'horrible descent into', ""god i 'm"", ""alright it 's"", 'could not care', 'wanna give it', 'how transgressive', 'jersey at', 'physique', 'so hard', 'it hits the', 'lap belts', 'guilty unredeemable', ""it 's taking"", 'well whatever way', 'yeah go go', 'if we do', 'to be topless']",15,0.694
