,pSTS,M1F,OPA,OPA_only,Broca,SMFA,M1M,V3A,V3B,ATFP,FO,PPA,PPA_only,hMT,LO,PMvh,V1,V2,V3,V4,V7,FEF,AC,OFA,SEF,VO,S1H,IFSFP,S1M,S1F,EBA,M1H,RSC,RSC_only,sPMv,IPS,SMHA,FFA
59,the western,opening it and,retarded like,arm he stank,stored up,younger and,ended up repeating,down naked up,four hundred five,screamed,cried a little,or saved by,at high latitudes,march twenty,a hundred sixty,he almost blew,crying in the,hundred five,september nineteenth nineteen,nineteen fifty three,was seen crying,performing so,try to build,hundred and seventy,aquifers fertilizer runoff,in fourteen ninety,says you sent,community run and,scream to,a hole through,home that night,crying out,leaned his head,from her shoulders,dangerous that,somebody then yelled,bit too and,to die
60,all the stuff,back my unibrow,chicken out,n't smoke weed,worry that if,flood,i drove crying,scissors behind you,in your bra,dangerous that,screamed,failed and you,the northern midwest,seven hundred and,sixteen oh four,debit,only twenty five,twenty fifteen,down his chin,naked too,lounged half naked,speaking russian,put a cloth,half block away,for almost drowning,hand is,he cried out,scared and all,still covered,'d been shot,die is if,biological son,index finger his,elbows on,enormous environmental damage,had a seizure,pint,is registered
61,giant concrete,you be hiv,like wildly overreacting,was gay,traveling and,a long sleeve,sobbed,grabbed her legs,eighteen eighty,working still,laugh a lot,pawing you,between nineteen fifty,five thirty,drove from vermont,on tradish,nineteen eighty five,nineteen fifty three,october nineteen forty,nineteen thirty nine,lied and,n't doing well,building and,drove onto the,he dressed and,in nineteen thirty,raise two thousand,been intimidated,kiss us every,old as,killed as,return flight and,arms flailing holding,over his body,whining and,joke a lot,bottom and,n't take it
62,writing handwritten,fixed and,are a gay,was of finnish,helped raise me,thicker and,is crying,down next to,three hundred ninety,screwed up and,butchered a lot,piercing,get to oregon,front yard that,twentieth nineteen ninety,her name like,unibrow,now twenty five,a nineteen thirty,howard eighteen seventy,'m taking you,really happened and,you go up,texas nineteen sixty,lunch each,suv,'s still standing,doing science partly,be screaming,charge the,they do die,little bites,over his face,around my hand,and office supplies,for choking so,frowned,is still out
63,at the western,see her scar,sadly gently took,speaking in english,every morning,bleeding,too curly,lid open,september nineteenth nineteen,a failure and,just looking i,dance that,up the coast,january forty three,thousand twenties,chubby like,third street called,two mississippi three,nineteen thirty nine,a nineteen thirty,naked in the,had not survived,coats,sixty seventy,wind blew it,in nineteen sixty,killed as,fought constantly,four hundred five,left vermont,cry or,he almost blew,rolling their eyes,that flips up,valued above all,yell and,vest and,was taking him
64,an old cassette,heater kept breaking,'s painting sucked,joke are are,that await us,burned beer,fell on,under the couch,eighteen eighty five,joking a,joking around i,every five times,hour drive down,standing right outside,flight fifteen forty,recycling,nodded in my,nineteen ninety,nine nineteen,april nineteen forty,mimed crying and,said instead they,aftering to,two thousand and,dressed to,be topless,around two hundred,enjoyed each other,distracted and dropping,taken out,with who and,blood work,slapping his behind,pipes for legs,flawed human,she fainted,weak and,want you
65,having to sleep,stapled and,sweetie 's name,of quasi indianness,leading businesses,to stop halfway,scream out,turned and walked,hundred seventy,blew it,wrecking the world,second it all,go to spain,one hundred twenty,twenty thirty,by weight,eighteen seventy,in nineteen forty,kissing his forehead,nineteen forty two,kissing as soon,exceptionally minor vice,knight,hundred sixty,soaked through,nineteen fifty six,yelled,terrified of,have two percent,lip is split,knew and i,year younger,him a lot,concentric circles,'m not that,he heard someone,missing or,by you
66,debit,failed and,being a dick,exceptionally minor vice,of other student,helicopter crashed and,loud too,climbed down,hundred five,closed and,because if copyright,be a man,the mid sixties,fifteen fifty,july thirtieth,hung in,ndepp is that,in nineteen sixty,two thousand sixteen,since nineteen eighty,whispering as,i might have,arena and,between nineteen fifty,everyone passed and,fifty six,'s hemorrhaging,cost of wrecking,married that,big as,still or,twelve percent,said like you,shoes propped,being judgmental and,whispered in,van and,was coming are
67,concrete,down his chin,nose job,beat me up,going to college,laundered his clothes,crying in the,canister rolling slowly,nineteen thirty nine,quietly and,rehearsing all,says well ms,wyoming seventy miles,flight fifteen forty,nineteen thirty nine,throwing like,two thousand nine,january forty three,fourteen ninety,before nineteen eighty,clutching my,died of,smoke coming out,two thousand nine,their little bit,uh standing,across town instead,an internet addicted,and the cover,crack the,really early,working all,saying thank you,that jutted,'m not super,heard him crying,treated and,beating me
68,many areas,return flight and,say you sucked,quasi indianness,every morning we,a short sleeve,and drinking too,poked a hole,taping their burns,nodding and,was strangely tentative,write it all,fly from north,shout and,three forty five,complicity,like eightish all,three hundred ninety,in fourteen ninety,in eighteen eighty,whispers in my,screwed something,left chest,into a mountain,skirmishes with customs,i ninety five,vic who,a complete mess,old and crying,are unkeepable,costing hundreds,fat too,pinned so tight,on their backs,'m a coward,and i screamed,naked too,was acting crazy
69,emptiness that,thick and,kid 's name,i joke a,very least it,transfusion,home every night,footprints on,nineteen thirty,survival of the,joking a,tenuously in mercy,was nineteen eighty,hour drive in,hundred n sixty,meat by,blouse matching,nineteen thirty,bit nineteen sixty,two thousand nine,and mimed crying,have been infected,go down,diaper,his eardrum,between nineteen fifty,wasting,sort of morally,he cried out,inflated,very late,around the corner,her head looks,shoes propped up,really fat,died and,stint,die or
70,least as,lo and,disrespected me,'s gay,'m glad it,thinner,messed up the,was blown horizontally,remember nineteen seventy,known i,scream out,dread all,drove from vermont,sea where,eighteen eighty five,going like,is six percent,twenty thousand fifty,going straight down,hundred sixty,shot and,arrested and all,least that,eighteen eighty five,and gargling,nine centimeters,eight hundred a,being beaten and,nickname on,renting,know existed,is fifteen percent,hitting him like,propped a foot,helping to build,was probably stoned,expired and,us like it
71,the closest thing,wet and,gay and that,semi jokingly,therapy and,screen kept blinking,got cuts all,blood was trickling,july nineteen forty,return hans,pretended i,shaking with what,flew from pittsburgh,taking twenty minutes,two thousand thirteen,die like,typed,eighty seven five,gash under,until nineteen ninety,corked,translated or,everywhere and,into the thames,in a vase,nuke,in critical condition,had cared enough,pumped milk,lower and,died i,fingerprinted,finger in,flap of skin,prepping and generally,then yelled out,by mistake i,are worth it
72,of creation and,five thousand dollars,got punk my,i was gay,write and,eighth and,was too curly,cord left,two thousand twenties,mistake and,and almost accidentally,speak twice,'s nineteen forty,the drive down,and nineteen thirty,survival of the,in nineteen seventy,two thousand seven,twenty thousand fifty,horizontally,just been corked,happened or are,going up the,two thousand twelve,his morning coffee,january forty,n't rhyme,a pretty terrible,baby with,cheap and,acting crazy,thousand and nine,hands like,a semi circle,legal stuff,coughing a little,singing every,it was out
73,development of,thumb,he 's gay,jew and,each morning,trend,mistakenly stacked,on his butt,about nineteen seventy,stay that,joke a lot,nine making,drive the twenty,year two thousand,fly to venus,in return hans,watched its,two thousand fifty,two thousand seven,nineteen fifty two,sings in,really done it,underneath the water,black stem,left unmown it,return hans,notification then thanked,ultimately i,scream a,already used,realized i,trained all,sprayed him like,burned the skin,privacy and i,shout and,just fell and,going at all
74,ate cereal,a septum,robbed and,kind of serious,taking classes to,slept and,hugs me,'s car curled,a nineteen thirty,still shy and,retorted rather loudly,said ms,twenty fourteen,stairs and,walked right past,high esteem,died that,gash under his,nineteen ninety,kevin two seventy,frowned,drinking and,to build and,nineteen forty two,to blood clots,texas was,cost of wrecking,intimidated,off start screaming,failed and,come very early,is six percent,other with affection,foots pointed,really warped,until she yelled,worth stealing and,will die with
75,some candy,his eyeball pops,his painting sucked,'s a muslim,do whatever it,missing or,too big,chin right where,eight hundred seventy,appeal,quietly and,cried out,on that distant,spotted us and,one nineteen forty,to jail hans,literally hanging on,eighteen eighty five,two thousand twenties,proof nineteen seventy,meant and,still want,being created,this nineteen seventy,rainwater and nutrients,dunking their headbands,one nursing,felt really strongly,left leg,wanted wanted,na die today,working still,are bulging out,'s skull touching,really afraid of,screaming trying,leaving a dime,taking all
76,stuff that somehow,severe burns,had was real,indianness,risking everything they,fired and,openly weeping,just fell and,hundred and seventy,meant,performing all,noted roughly doubles,up toward cornell,fifth floor,nineteen fifty six,that eyeball cost,seven eighty seven,towards the salton,three forty five,and nineteen thirty,out loud in,who cooked all,every day,howard eighteen seventy,fainted,hanging,sue,integrity,be really hard,started coming down,home really late,one nursing,pinning my arms,looking around corners,planning and,joking it,sadly gently took,continues is
77,of credit,thousand or,loved me enough,bourbon was consumed,every debit,little crack and,yell and scream,up those stairs,gash under,giggling all,scream a,act all,forty years pass,fourteen ninety,was nineteen eighty,hurt my shoulder,new york hans,fifteen forty nine,howard eighteen seventy,two seventy five,your name real,much or,railing of the,fifteen hundreds,minnie chain smoked,was pierced,begged,spent imprisoned partly,f-250 pickup,guard spotted us,taking twenty minutes,stolen too,one ear swirly,hair dangling over,encouragement and i,almost blew up,to wink,going it
78,the integrity,foreign object and,was a lie,sweetie 's name,registration,missed an,cry it,drove onto,in nineteen thirteen,just standing there,knows you,killed as well,coast of florida,meant and,twenty twelve,rebuilding natural capital,three up three,nineteen thirty nine,nineteen forty two,eighteen eighty,fingerprinted,love you very,standing outside,of nineteen eighty,medicated into,toes,forever actually hans,encouragement and i,had not survived,rip it,like three days,screamed,her ear let,straight long piece,some chemical equipment,cried out in,slowly lower and,n't come out
79,simplest,five hundred dollars,mean that as,jig is up,most national governments,gon na shave,was too loud,crack between,slit that,going too,probably realizes but,knew he could,day nineteen forty,driving after sunset,fifteen hundreds,he slipped and,holding on,d thirty five,two seventy five,tiny cut on,she fainted,and overpriced coffee,would drive up,hundred five,hated mowing,oregon,asian,realized ultimately that,but never coming,realized we left,n't realize i,the nearest town,her head underneath,along the glass,terrified that,giggled and,little flashlight,been going on
80,tend,tape it closed,for choking so,be let down,maintenance and,no clothes underneath,out a bunch,onto the sidewalk,up the coast,just going i,got distracted and,the male,our nineteen eighty,the fifth floor,fifty trees,joking a,up all,two twenty two,two thousand four,between nineteen thirty,hugged and,sort of blew,the top,in nineteen forty,had drowned and,way from kingston,to one nursing,of creativity instead,user name in,charge and,late when,looks of,save the crusts,feet kicking through,cost a lot,screaming,and crinkle,all absolutely
81,being terrified of,open back,crack immediately,are jewish,most land,door opened it,and crying,a face plant,fly to venus,yell and,chickening out,orale,this nineteen seventy,just scream out,hundred and seventy,really fat face,towards the salton,three up three,seven hundred and,on the forehead,had a seizure,just crying the,tied behind my,vest and,'s still out,ninety six,fixed on,ultimately proved,was mistakenly stacked,an hour each,die but not,twenty five percent,noodle arms,at the ceiling,'m not very,and yelling i,to stop halfway,announce
82,about the mercantile,expired and,flirtation with cruelty,and organic agriculture,some government,five and,laughing too,his head falls,three hundred fifty,he almost blew,sounded and pleaded,sucked all,further up north,hundred seventy,between nineteen thirty,by grain,'m holding on,fourteen ninety two,two thousand eleven,five hundred fifty,picked up and,drunk and,signing up,five hundred dollars,hamper overflowed,grass not,and eight hundred,was really nervous,year old child,do n't wa,saying and,terrible place,that eyeball cost,darning that hole,really difficult,screaming it,was missing or,'s going in
83,and tomb,big quart plas,were gay,that it sucked,the building department,in nineteen thity,old and crying,no clothes underneath,in fourteen ninety,going crazy,they knew was,clueless but competitive,towards the rockies,first floor,two thousand nine,beaten and,thousand nine,the gash under,in nineteen forty,eighteen eighty five,screaming it,joke are are,shooting range,black su suv,slept every,nineteen thity five,as thin as,worrisome person,pretend to,napa,die today,was too curly,breathing very hard,framed her face,too scared,daughter cried out,crying the,was yesterday
84,worth less than,four hundred dollars,intentional lie or,'m jewish,many areas,be six thirty,fell to,to a hill,nineteen forty two,was like it,she know this,acting on,in twenty ten,thousand sixteen,eighteen eighty,crashed and,forty three,nineteen seventy nine,proof nineteen seventy,fifteen fifty,whispered in her,acting crazy,a large chest,stairs to,was asleep and,lingerie,hundred ninety nine,with cruelty,parents went naked,by quite a,very early,work address and,onto her face,was facing away,his own weird,he cried out,spot a hill,tend
85,seemingly,actually hans,really loves him,already being overused,for college i,shirt all buttoned,he cried out,nose on back,the gash under,planning and,i scream and,hug mama,was early october,hundred and seventy,the nineteen eighty,coke,until nineteen seventy,at twelve thirty,horizontally,the nineteen eighty,with tears in,sober and,of the ground,along the coast,because perennial grasses,shouted,sofa,strangely tentative about,kissing as soon,thicker,died each month,you wasted,finger you,hands go under,a very scary,suspected but,dear and,be killed
86,most important thing,his face split,butchered a lot,speaking russian,counseling but they,expired and,drank all,towards the hill,fourteen ninety,and bowed,hysterically screaming,learn in spite,drove to washington,five to sixty,nineteen fifty,loud as,take my ninety,nineteen forty two,april nineteen forty,september nineteenth nineteen,arm he stank,late and,ashes outside,a nineteen thirty,swimming every day,two thousand fifty,bowed,known i,his face split,weak and,really late,failed and,hands went underneath,the chopsticks flipped,a credit union,aggressively cackling,how to iron,die like
87,very baggy,two thousand dollars,cocky as,sake and went,the debt,really worn and,his right hand,in nineteen fifty,october nineteen,actually hans,considered so dangerous,was acting crazy,nineteen thity five,somewhere off highway,two seventy five,stealing and,wearing black hans,to eighty ninety,in nineteen thirty,october nineteen,slap and,gone for,cottage,onto a dirt,we screwed something,lab is,york hans,things and ultimately,all went naked,had inadvertently come,going i,too fat,his hand maybe,front passenger seat,terrified of,sobbing right,or not promoted,screaming it
88,in a way,giant clumps,no longer wanted,indian heritage,the whole test,later the doorbell,cry every,facing the beach,fifteen meters fifty,really stupid and,was really nervous,scream out,summer of nineteen,intended,wyoming seventy miles,he cried out,still and,in nineteen thirteen,three hundred fifty,nineteen oh six,brought him cigarettes,second song is,basically driving up,reaching for,fell back asleep,before nineteen eighty,'s three hundred,arguing and,conceived children,really worn away,cheating,starts and,different by mistake,the little bristly,putting all,gasped and,drop and,was now or
89,statues of,five pounds,love you very,gay liberal,remembering all,burnt steak,mom started crying,sauce got detached,cross the bering,relaxed and,by heedless overuse,sobbed,high latitudes,fifty three,flight to chicago,guy named richard,nineteen seventy nine,i ninety five,be topless,died of diphtheria,already in use,to eating all,under his chin,remember nineteen seventy,he brought all,of twenty twelve,seventy,on some level,and my eldest,really worn and,night and early,given the descent,raised voices,poked a hole,embedded,shouted but,he started sleeping,to that empire
90,practical,'s neck snapped,screamed,a gay liberal,knowing that if,lose we,and slept every,standing right outside,no clothes underneath,leaving and,also freaking out,taking all,drive from south,died that night,crawl fifty meters,new york hans,nodding,are bulging out,ring fell off,seven hundred and,whisper in,may have gotten,every debit,nine nineteen seventy,just starts gunning,persian,and a bunch,with leading businesses,was gay,just scream out,old as,one gold depending,repeated her affirmation,gash under,has really messy,got distracted and,mistakenly,n't okay
91,the dirt roads,five pence,all he wanted,joking around i,glad i i,blonder,him crying,tore a hole,day nineteen forty,putting all,the doctor panicked,use but not,vancouver in canada,house next to,diapers,calorie soda,going all,by twelve thirty,until nineteen ninety,sixty seventy,cried out in,giggling all,ting t,nineteen oh six,delaying it by,new laura,four hundred five,and worked hard,just fell to,sent back from,and very wanted,quart plas,cocked his head,those pull string,a mug,moment she gasped,swallowed it or,acting crazy
92,they look really,ear and,tiny bit joking,are from india,of the military,thin and it,too hard,his left hand,eighteen seventy three,got taken,neighbor had recognized,cry or,an hour south,back room where,before nineteen eighty,killed as,have two percent,jarkko twenty five,eighteen seventy three,tint,diapers,passed and still,sea ice,bit nineteen sixty,beat up and,nineteen eighty two,actually hans,still just terrified,have a naked,had become balky,i remembered i,did not survive,hands your thumb,my scalp peeled,hiding somewheres and,sort of blew,slept and,won it
93,every sea,just fell and,he knew it,'re pretty psyched,being the only,to hold handkerchief,headphones still there,along the coast,two hundred fifty,was going up,him semi jokingly,ndepp you,nineteen forty seven,this is east,kevin two seventy,at hans,back my unibrow,up bra,nineteen sixty,a long sleeve,finger in,joking a,being built,towards the hill,metal falling out,two thousand fourteen,is then pumped,were very nervous,capital letters he,i   wa,was now or,good place,hands gripped,on his back,outdoor,blurted out,now and,be executed
94,a permanent,heard another thud,knew better,which really stank,'m glad that,was wet through,down had unworking,i drove onto,hundred n sixty,taking all,looked around scared,becoming more likely,ship to hoboken,debit,nineteen fifty five,of wrecking,january forty three,proof nineteen seventy,six hundred and,naked totally covered,whispers,must have cost,his chest,eighty ninety,created gets captured,head is,then so is,'m a coward,was naked,up the hill,i realized i,not air conditioned,read social cues,that long piece,some paperwork,getting distracted and,not get kissed,only one right
95,ugliness,sped,meant is as,was slut skank,that every day,long sleeve,cooked all,on her chest,drove from vermont,pretty serious,visiting and all,declines,train to boston,heard what sounded,in fourteen ninety,screaming,five am,nineteen fifty two,hundred five,was too curly,confused look and,soundtrack,a set,flight to chicago,home every night,ninety three,crying as,failing exams,october nineteen,'re coming down,did not die,died that night,finger on,the smoke behind,was petrified of,he has autism,and completely covered,abandon
96,the very least,down the embankment,caught of fooling,being overused,or at least,cried,cries out,up my shoulder,dunking their headbands,still talking and,parents were screaming,choke on my,in upstate,f-250,sixty nine nineteen,like a coke,on nineteen ninety,sixty seventy,hundred ninety nine,five hundred dollars,knew this was,sort of struggling,building process,walked straight up,was sprinting out,hold a coconut,shout and,and doing so,lip is,nose,happened or what,three hundred ninety,your hands went,on the bonnet,do trust,screwed up and,unbuttoned,n't register
97,tiny house,smaller and,theme she liked,or neutral intent,work together and,thirtieth,too fat,car into neutral,and nineteen thirty,the storeroom,enjoyed each other,knew was,the nineteen fifties,past twelve thirty,walked straight,ruining everything and,twenty thousand fifty,nineteen fifty,gash under his,two thousand and,fa staring right,tiny bit joking,spray and,stairs and,got taken somewhere,twelve percent,five angelfish,or approachable,fell by,says you sent,midnight and,seven percent,the mime feigned,behind her so,bloody and it,lied and,'re going streaking,taking us
98,of the developed,horrible descent,beating is,knew and,by helping to,along the coast,power completely out,slit that neck,nineteen forty,just getting carried,something super important,the jig is,late in nineteen,thousand twelve,vest and,requiring a lot,nineteen fifty five,was nineteen eighty,naked too,lingerie,whisper in her,under false identities,go into the,south to where,slept and,'s hanging,five minutes out,out of friendship,screaming it,bluntly,like eightish all,frowned,beating so fast,one hand tied,helping everything and,died that night,stereo,lunatic
99,corn and wheat,coli levels,almost died and,i love you,to talk it,kills the power,soaked through,taped to,proof nineteen seventy,driver seemed not,worked really hard,sales,and nineteen thirty,other room but,thirty nine,singing every song,survival of the,six thirty,left leg,nine nineteen,you big wimp,and eating chinese,underneath the,in nineteen ninety,championing synthetic fertilizer,chaska,younger,really a nerd,bursting,are bulging out,want i,cost of wrecking,your voice sounds,tilting the screen,really cool looking,and almost crying,of money darning,is getting the
