,S1F,M1F,TOS,FEF,S1M,sPMv,EBA,SMFA,PMvh,FBA,S2H,S2F,FFA,OFA,SMHA,RSC,Broca,S2M,hMT,AC,IFSFP,PPA,M1M,S1H,M1H,IPS,RSC_only,PPA_only
81,after dinner my,snapple,door to the,slammed behind us,our uh my,wrote but i,and waved wildly,arms flailing holding,joyous joyous and,a blue square,this final scene,hey everybody and,he locks eyes,this particular evening,i grappled with,downstairs into the,surgery i said,sharing his stories,i was introduced,said hey kiddo,days but i,to the basement,something that uh,one morning not,time i experienced,i stopped myself,in vancouver,a cage with
82,frustration uh and,friday came and,by the window,down that corridor,and i uh,and she points,blonde hair dangling,catch myself from,kissing him and,in fourteen ninety,suggested a scientific,community in los,in my denim,and played tetris,i was nervous,walking home from,rabies of course,life was increasingly,i was remembering,and thinking wow,surprising to me,basement where,uh little little,had just landed,i visited,whatever but um,back from baltimore,my stuffed animal
83,so tuesday comes,remember getting home,outside my door,i flung open,her and uh,while looking directly,i reach under,sort of chuckled,hate i hate,wearing a towel,called tetris,and eventually i,boyish almost biblical,had finally come,place and uh,went downstairs,i said did,traveled to marrakesh,the day came,stopped talking stopped,i walk into,mile of cornfields,hundreds and hundreds,maniac and uh,machine i remember,on the bonnet,to chicago,while heavy sheets
84,awkwardness uh i,and finally there,outside the door,railing looking out,and that uh,say something say,all gathered around,and i braced,around my index,in eighteen eighty,average pen pal,no smoking no,japanese exchange student,this particular day,mutual friend called,i wandered outside,thought aw shit,two people i,i remember one,shouted admonishments,was finally days,opened the freezer,millions upon millions,i was beyond,i met,finally one day,suburbs of baltimore,like the background
85,phone was ringing,the attic was,across from me,cut across through,that but uh,i said ok,in my lap,my great surprise,wrap enwrapped,put a nickel,also knew i,community the yorubas,but tetris,later i caught,into her office,through into town,the slut skank,i even met,the days passed,tall handsome distinguished,eventually i walked,an alcove,had uh i,once i told,friend of mine,then one day,mexico every summer,an envelope with
86,yesterday well i,and one afternoon,on the eastern,up the hill,was about uh,behind me grabbed,hugging him and,best way i,help please please,texas nineteen sixty,of my subconscious,i felt strengthened,dressed like,and caught up,columbia which i,to the sidewalk,worry okay fine,son had finally,remember having lunch,like nothing nothing,went home i,to the elevator,uh i i,i was telling,and i recently,towards the bridge,off into vancouver,bins filled with
87,a reporter came,profile no mention,the hall past,his back turned,plus and uh,i was yanked,his arms around,cried and i,rubbing me the,fourteen ninety,two people i,the whole wide,anyways this lady,and slowly the,okay um so,went to boston,called me monsieur,and really what,anyway so,girl like hey,i said shyly,of the sidewalk,obviously but uh,familiar to me,and i met,this particular day,evening after work,put a cloth
88,place and uh,friend named,down the lagoon,reached over and,i was perusing,and i literally,in my arms,constant in my,but but mainly,nineteen oh six,to tetris,every spring,of james bond,had all gathered,dived into work,the bathroom outside,said hey babe,had no experience,but okay um,and potatoes apples,then i finally,to the sidewalk,the the the,and i vaguely,childhood but i,but anyway,move to texas,a pole with
89,ultimately i was,summer every summer,in the forest,came up behind,you see uh,girl like hey,and leaning against,and we talked,equitably millions upon,was five thirty,took long walks,mile of cornfields,with tetris,but most important,jenny had emailed,down the stairs,say please dude,i was perusing,i reminded myself,was like hey,get home and,reached the interstate,started bawling bawling,we touched base,another way i,vegetation protects,the next morning,the light up
90,modern times it,the storeroom was,that window in,family was nestled,with uh i,and says hey,on my shoulder,went internally ballistic,millions upon,in vests and,the northern midwest,complex than tetris,of my indian,next morning we,i had worked,corridor out onto,he said sure,adventures often included,morning we gathered,bawling bawling,caught up again,boardroom in front,for many many,know but uh,initially i was,down this embankment,back to cali,in jars
91,me at least,this old paperback,around me the,the buildings beside,reunion but um,actually glanced in,i flung open,me my sister,wraps his arms,wraparound mural of,filled my days,a miraculous recovery,his tan uniform,and this time,this um this,just steps away,puns ensued,anyway i remember,but what fascinated,dilemmas innovate innovate,now but um,in luxembourg gardens,to um well,anyone else,customers which i,the hill up,to kentucky,a locked box
92,one sunday my,of these scrolls,to the barrier,dangling over the,window and uh,but i shrugged,skull touching her,family my sister,woman shakes her,of multicolored tulips,anyway the day,'s shorter stouter,in my uncle,i eventually relaxed,attention uh so,on my couch,visit excuse me,were laughing talking,i remember after,hut hut hut,weeks went by,on a park,hate i hate,friend of mine,patients that i,stood behind the,heading to iraq,a jewelry box
93,i was around,afternoon of my,the gulf where,climbed down and,and ultimately i,directly at me,his feet hanging,brace myself,am really really,and played tetris,shaking the stiffness,finally the doctor,when i worked,and especially,got myself together,up those stairs,saying i love,family who i,was about midnight,i said fine,afterwards but i,over the embankment,father and uh,those of you,familiar to,the lagoon behind,in chicago,box which
94,anyone here,overwhelming in fact,road in front,turned around and,um but uh,looked down at,reached over and,i flung open,her cheek,in a bathrobe,i persisted and,trickle of confidence,quoted taylor swift,and tetris,that and uh,walked back down,said well yes,so anyway years,recounted these details,myself well obviously,braced myself,the parking lot,our uh my,in our lives,a neglected but,but what fascinated,in lower manhattan,cinder blocks
95,called her up,remember showing up,in the hallway,and in front,and uh so,friend but i,and hugged me,my ambivalence,path that jutted,a mismatched suit,wanted her outta,simple honest approach,a gypsy esque,so anyway the,after school i,drove out to,she said yes,what fascinated me,always remember being,big hair bigger,alright fast forward,driveway and behind,approaching um i,language but uh,there and uh,yet but um,christians of palestine,a scroll open
96,i was reading,googling myself and,across the parking,i walk over,meet and uh,and i point,her head brushed,deep breath i,roll roll,dressed up in,sci - fi,in yoruba,in vests and,as i once,i spoke to,past the city,hook excuse me,made our reconnection,trying to unwind,scared scared shitless,i was numb,the storeroom had,a long endless,there 's this,one night i,on the embankment,like this israel,wrapped my napkin
97,i was talking,we all regrouped,in the colonnade,and came around,table and uh,wanted i asked,arm around,accidentally kick,down on my,was wearing black,and this shiver,one night i,liked the beatles,as we finished,i persisted and,downstairs to the,i said aha,a customer i,so i remember,miles miles,the home stretch,in the lobby,so i uh,experience i had,'d heard about,now but um,to thrive kentucky,which the clip
98,on so uh,highschool reunion but,to the western,turn right down,morning and um,googling her googling,i reach down,forced myself to,flipped it open,three thousand seven,evening after work,into my room,friend from twitter,when i worked,got home i,i walked inside,said oh great,it still amazes,was scary but,frantic very perceptive,but the important,the produce section,roll roll roll,it dogged me,which i found,cut across through,from oklahoma,cousins played cards
99,i open up,summer came and,surrounded by rooms,to duck under,witnessing my,was like mhm,and grabs my,caught by surprise,hey girls and,of nineteen forty,winding down and,took long walks,we had sushi,up one sunday,i reached out,in luxembourg gardens,'m screaming i,met in college,we chatted,smiling this smile,got there and,wander the hallways,my most pivotal,had just broke,a fear i,and behind it,in michigan,of motivational posters
