,pSTS,M1F,OPA,Broca,SMFA,M1M,V3A,V3B,ATFP,FO,PPA,hMT,LO,PMvh,V1,V2,V3,V4,V7,FEF,AC,OFA,SEF,VO,S1H,IFSFP,S1M,S1F,EBA,M1H,RSC,sPMv,IPS,SMHA,FFA,RSC_only,OPA_only,PPA_only
55,ball i shouted,tell the world,green expanse of,i said wow,of maternal instinct,are alternate universes,years of feeling,change his life,called madison wisconsin,eighteen eighty,into the parking,the hand drags,good friends often,as we scrolled,the soft wet,i was fascinated,i felt protected,my mind lately,years pass,chair and propped,disagreed without words,though my parents,what what have,the family psychic,do it analog,nineteen thity five,seemed like ghosts,tell a kid,reached over and,become acutely aware,home in chicago,script excuse me,on each side,sense of relief,shoes propped,live in indianapolis,under his chin,like pudding
56,partner michael radioed,seemed so exotic,across the parking,at me quizzically,my newfound freedom,eventually these conversations,hopes fears memories,empathy and compassion,i would skype,november two thousand,it had rained,like my family,mom often told,as i push,patients that i,generosity and compassion,in my childhood,growing up i,in my life,over the embankment,said no no,mama had said,was like alright,things that you,newfound self esteem,our nineteen eighty,i would marvel,such intense feelings,my skirt up,like that feeling,was early fall,until nineteen ninety,mirror behind,i remember after,my palm and,out in california,up behind me,words were aggressive
57,she said wincing,this like spiritual,towards the hill,was like bitch,these two perspectives,this horrible emptiness,through in life,i can remember,tasteless odorless,eighteen seventy,in an alcove,had handled grief,dysfunctional family,weeks passed,she was snapping,my mind while,as a child,from his memories,feel superior to,around and unclip,i said honey,helped me along,april nineteen forty,remember being fascinated,a deep existential,november two thousand,my my mind,had handled grief,burrowed her head,i felt triumphant,in warmer mexico,weekends became weeks,wrapped the strap,i was fascinated,hugged them inhaling,flight to chicago,over my shoulder,like a ritalin
58,gently excuse himself,quiet transcendent moment,to the sidewalk,provoked gasps,this horrible experience,i felt triumphant,so many emotions,my upbringing,gladwell famously,thousand fourteen,expanse of lawn,a prince charming,get over guilt,two weeks passed,know the pain,ways of thinking,answered many questions,years of babysitting,they manage to,onto the sidewalk,i started laughing,these long existential,'s like uh,be grateful for,pain of meaninglessness,bit nineteen sixty,about my future,what he taught,holds it up,what we go,home in alaska,until nineteen seventy,have thinly sliced,dichotomy between,torn fishnet,home in minneapolis,in long rows,an insult
59,said uh hey,this morning before,toward the ocean,heard another thud,scientists economists,in this metaphysical,take my experiences,had handled grief,i show them,two thousand fifty,the porch where,infect the thoughts,for something spiritual,change the subject,the distractions available,the intense satisfaction,i remember feeling,what i remember,so blah blah,my arms out,said no i,me their stories,i look up,know few books,empathy and compassion,'m twenty eight,was feeling isolated,strange feeling,onto the railing,this silence emanating,in alaska,and nineteen fifty,nineteen eighty,hopes fears memories,slice of sizzling,me in delhi,hundred feet up,painting sucked
60,she laughed and,two feelings that,to the south,told him vamonos,assumptions into question,we were studying,i can remember,of her thoughts,i was seventeen,about nineteen seventy,cargo ship anchored,and he untangles,something inside me,it felt magical,my parents they,more future happiness,good feeling to,but my mother,the summer of,sit down on,said well yeah,in their lives,remember that moment,ideas through books,like yeah um,'re turning ninety,mile after mile,newfound self esteem,move your hands,children are happy,into new york,you answer oh,april nineteen forty,felt like brothers,her hands gripped,back to texas,feet underwater to,home theater slogan
61,the driver shrugged,the path we,thousand miles across,defense i exaggerated,puns ensued,his opponents luddites,been to weddings,my own mind,google myself and,remember nineteen seventy,facing the beach,even the hair,a deep existential,i walk outside,it 's simple,of my life,games my mother,whatever mama always,in their lives,i reach into,said oh okay,an unpleasant memory,nineteen sixty,his afterlife so,my former boyfriend,two thousand eleven,sense of closure,many emotions running,towel on her,these universes arise,landed in brooklyn,three up three,along the edge,i always told,of skin peeled,back in alabama,on the sides,like sour milk
62,the crowd erupted,a history lesson,the front steps,five only twenty,book that explored,good friends often,great many things,of our upbringing,veterans i told,two thousand eight,of filthy tiles,wanna understand life,inspire the happiness,i eventually relaxed,given my history,of our upbringing,in their lives,humiliation and rage,anyway years go,up turned around,nineteen i fell,in school my,key to life,no satisfying fantasies,write my memoir,thousand fourteen,i have patients,comic like this,'re throwing napkins,new sense of,i was overseas,nineteen sixty,the sliding glass,two feelings that,lifted her dress,into new york,dangling over the,she was tense
63,i said yeah,gives me hope,on the sidewalk,um she laughed,straddling two lives,seismic shift in,feeling of accomplishment,very vivid memories,googling her endlessly,two thousand eleven,through the windows,about my family,in our childhood,soon i was,in their lives,unique my childhood,felt so lucky,mother used to,my childhood,both turned around,somebody then yelled,my shrink,in june of,relationships so,calm and cool,between nineteen fifty,told my friends,beliefs,the water sloshing,my worst nightmare,eight hours south,smiled i smiled,this long shaggy,do some research,his eyes roll,lives in texas,row of seats,load of crap
64,screams fuck you,rabbis over,up the coast,thirty suddenly four,sadness was palpable,that summer of,from his memories,for it emotionally,test this hypothesis,october of nineteen,the backyard where,my my family,shift in attitude,i ask them,it 's amusing,of true happiness,i felt triumphant,feel the message,i remember being,on my back,told the unboyfriend,anything mom said,i was twenty,that my life,girl friends about,was january forty,i had friends,senses were heightened,cup which splashed,hyena ahaha,i drive to,of nineteen fifty,peel and cut,two philosophies two,navigated pushy elbows,i drove to,towards the river,something she liked
65,turned to her,how they say,toward the sea,he said oh,my maternal instinct,one time a,spiritual peace for,my mind lately,summer after graduation,nineteen oh,beautiful blue sky,hurtful first dates,if other memories,eventually i walked,my entire life,i felt triumphant,what i remember,in my childhood,i remember feeling,herself upside down,i said uh,always told myself,ask her about,gives me hope,my senior prom,was july thirtieth,in this metaphysical,watch their behavior,his hand away,the sense of,in northern canada,was january forty,until nineteen sixty,a mental map,his newspaper sipping,base in texas,was facing away,teacher besides rubbing
66,turned to him,the two feelings,eight hours south,his voice faded,at art school,disgust but pity,happy or excited,into their lives,i was nine,the nineteen eighty,expanses of grass,clench my jaw,giving me advice,my highschool reunion,cream sandwiches for,so many emotions,of our upbringing,of our upbringing,my school days,turns around,snide comment about,ever be ashamed,'m like alright,neuroses and anxieties,the flaws in,of october nineteen,like the proverbial,seemed so exotic,reached forward and,she was fearless,were driving home,one one mississippi,above the gulf,i felt triumphant,sheets shuffled,be in england,the back hatch,nickname he picked
67,called her back,told my family,the windowsill,pasties i said,like jane goodall,i tell people,good about myself,this horrific nightmarish,i was thirteen,proof nineteen seventy,we were walking,seeds of doubt,reliving a fear,my whirlwind dating,felt so relieved,i can remember,something i remember,from my mother,of my life,he turned around,thought aw shit,from his memories,i tell people,my upbringing,about their life,texas nineteen sixty,like a superhero,her questions,put his arms,so many emotions,i drove up,day nineteen forty,fifty one years,from our childhood,artificial flavors swirling,live in california,behind her so,and the garlic
68,he said wow,fears i had,off the coast,way she sighed,experts scientists economists,vortex of empty,about other people,the family psychic,i would google,am turning forty,in the alley,lpu your life,my biggest fear,everyone goes silent,my entire adult,felt so relieved,my mother tells,for something spiritual,happy and fulfilling,belly flop down,she scoffed,whatever may come,between nineteen fifty,generosity and compassion,my story begins,remember nineteen seventy,to my mind,of her feelings,his feet hanging,anyway we move,we drove to,visit excuse me,to nineteen forty,our childhood,these big lumpy,to southern california,to one side,being a dick
69,at me quizzically,i tell people,through the windows,was like mhm,our team huddled,else vonnegut once,anyway i remember,sense of relief,my senior prom,in fourteen ninety,a street corner,the chopsticks like,i felt nervous,i was twelve,what i do,my crazy childhood,my mind lately,i felt ashamed,my childhood had,feet touch the,i said damn,a deep existential,what our mothers,mother a very,how it feels,august of twenty,we were walking,understand the universe,stick your hand,can give tours,it was july,one nineteen forty,thirty eight years,recall many instances,overturned cardboard,triathlon in utah,between her legs,had mashed potato
70,girl like hey,oddly calm cool,i look across,i said fine,my entire childhood,how time conspires,get over guilt,course my mother,how i taught,two thousand fourteen,shimmering skyscrapers,my own life,shitty feelings,i was thirteen,can find happiness,bunch of possibilities,mom used to,my mind while,for about maybe,turned and walked,said well okay,fears i had,how it starts,i tell myself,goal in life,'m twenty three,call for empathy,situations that i,arms around,exhilaration overwhelms,around in mexico,fast forward three,was nineteen seventy,emotions of motherhood,rolled up sleeves,living in atlanta,up those stairs,and toothpaste
71,was like hey,stories about my,our bedroom window,then in unison,in our childhood,philosophies two approaches,were amazingly welcoming,it was magical,googling strangers so,august of twenty,walked across muddy,feel the soft,feeling of freedom,i turn around,as the solution,uh lemme explain,helped me along,about my feelings,and my upbringing,wrapped it around,i bickered,if my parents,um one morning,was anything we,my dad about,two thousand fourteen,feels entirely truthful,i was numb,unbuttoned her,filled the awkward,northern midwest,in nineteen sixty,cross the bering,philosophies two approaches,burned beer stained,college in boston,and behind me,mashed potato
72,sudden i heard,oddly calm,facing the water,yelled boo,childhood we were,like ghosts of,me for years,hopes fears memories,in baghdad iraq,three thousand seven,shattered glass everywhere,with somebody artsy,and my upbringing,i asked them,but what most,friends n shit,horrific nightmarish,kindness and humor,better about ourselves,arms tighten around,she laughed cause,growing up i,i could describe,people that you,just shrug her,day nineteen eighty,me their stories,that sense of,bike shoes propped,like geese,living in atlanta,maybe two maybe,the seventy ninth,sense of calm,sliced red onion,vancouver in canada,onto the sidewalk,father 's favorite
73,me she said,feelings that i,and darted downstairs,she said ohhhh,lot of anger,at its core,my mind lately,recall many instances,dilbert and xkcd,two thousand two,moonlit mountains,take my experiences,felt so lucky,am not married,it feels good,values and morals,though my parents,i was numb,no satisfying fantasies,i ran forward,i started yelling,relieved because,'m like yes,friendly arguments online,a history lesson,two thousand eight,at art school,felt no closure,were high fiving,felt so relieved,further up north,in nineteen forty,feet the loincloth,ideas through books,this swirling vortex,was in rwanda,shoulder toward the,him semi jokingly
74,his voice faded,what i say,east coast of,girl like hey,interest was piqued,so back in,years of babysitting,from his memories,you tell people,nineteen thity five,between the sidewalk,an unpleasant memory,of the bullying,there i was,because like many,but my folks,anyway i remember,if my mother,in my teens,he leaned back,kissing no flirting,i remember at,in nineteen ninety,fear being alone,in my brain,of april nineteen,after a tour,in my mind,drop their binoculars,he 's calm,in big sur,nineteen forty,of nineteen forty,lifetime of antagonism,a pert nose,i drove out,row of stalls,he has autism
75,suddenly i heard,a deep existential,them fly overhead,turned and said,ways of thinking,one summer my,to be happy,in school i,myself googling her,two thousand seven,stone cliffs like,hard hitting questions,it still amazes,told my family,and he untangles,shame and resentment,what our mothers,some uhh um,over my life,lifted her dress,girl like hey,things growing up,bit nineteen sixty,these long existential,people whose ideas,turning ninety,this sense of,the awkward,from her shoulders,like disney,been to texas,'m twenty three,towards the ceiling,stories about my,arms tighten around,were driving home,door closed behind,darning
76,eyed her suspiciously,from my readings,towards the rockies,said oh suzanne,embrace this opportunity,experts scientists economists,triumphant i felt,of feeling more,in minneapolis minnesota,thousand four,roads were dusty,some uhh um,felt so relieved,more weeks off,growing up we,entire adult life,and my family,deserves more empathy,uh everything anything,to duck under,she said yes,my upbringing,would say excuse,proudest moments,that sense of,in fourteen ninety,i was partial,baseline of understanding,put my arms,organisms the dynamic,move to texas,of nineteen sixty,slats in the,one the lessons,the tiny crumpled,year in ohio,hair dangling over,some scarring
77,said oh ok,memories that i,corridor out onto,i said hey,that summer of,dispel a myth,of mind so,triumphant i felt,my sophomore year,is turning ninety,of my bed,gives me hope,of unbridled joy,as i walk,my entire childhood,newfound self esteem,ever be ashamed,though my parents,anyway the day,i walked towards,she eventually forgave,my mother tell,the fuck dude,were barely acquainted,my life,i was thirty,my mind while,strange sensation of,i reach down,my contemporaries express,the northern midwest,in nineteen ninety,nineteenth nineteen forty,ways of thinking,in my palm,been to texas,every eight feet,has that lemon
78,tells my wife,what it must,opposite coasts,she said oh,as a kid,one day a,of my subconscious,some uhh um,my newfound freedom,was september twenty,in a kitchen,the finger pointing,felt very relieved,you text them,is my family,hoping to channel,feeling of accomplishment,i was nervous,marvel at the,towards the ground,said hey babe,in my mind,um yes uh,been before mentally,economists are,nineteen oh,and who ca,feel so powerless,pull his hand,cooper on cnn,onto the subway,birthday was two,nineteen forty,what 's up,there were slats,live in brooklyn,on my back,her biggest fear
79,everyone goes silent,answered many questions,sidewalk in front,suddenly i felt,two philosophies,the plan concocted,of true happiness,religion my family,my first kiss,in nineteen thity,through downtown atlanta,no satisfying fantasies,anyway the point,we had arrived,my story begins,a mental map,i was happy,ugliness and malice,one summer my,slowly stand back,irresponsible she said,giving me advice,june of nineteen,my mom often,full of manicured,thousand eleven,so many emotions,asking him questions,elbows at,moses,'m driving to,was september twenty,on the ceiling,overwhelmingly surreal sensation,my napkin around,in florida,long rows of,a violent person
80,she gasped,like a tender,at those cliffs,would say excuse,of hopes fears,imagine my joy,shift in attitude,sharing his stories,my birthday arrives,nineteen ninety four,her small bed,been to weddings,of her thoughts,as i stepped,flocks of wild,what fascinated me,as a kid,of the anger,for centuries,between her legs,seventh grade slurs,felt like brothers,i said yeah,for it emotionally,erosion of ice,i am thirty,generosity and compassion,feelings so,i whirled around,york on christmas,flight to chicago,of nineteen eighty,that jutted into,i remember feeling,of petals,i fled ithaca,lay down across,tiny bit joking
81,she hangs up,the media before,for miles into,mississippi three mississippi,two alternate universes,it seemed incongruous,and blah blah,this strange sense,at age twenty,of october nineteen,it was wet,of my troubles,all this guilt,i was twenty,breakfast cereal sweet,my parents they,absorb the lesson,thrill and relief,sense of closure,down this embankment,was like yeah,entire childhood we,so one night,i felt ashamed,it was summer,daughter is nineteen,dilbert and xkcd,feeling of accomplishment,leaned his head,time and moses,into vancouver,virginity at twenty,feet above the,emotions running,wearing flower aprons,we drove back,box behind him,petri dishes
82,turned to me,asking him questions,look across the,winking i said,the disconnect between,what fascinated me,sort of maternal,take my experiences,i provoked gasps,two thousand nine,on my bed,feel the message,you judge success,fourth date and,told my family,i was excited,my parents they,in my mind,the days passed,i push down,much oh fuck,my mother tells,week two hundred,my mind while,oddly calm cool,october nineteen,feel very cool,of questions,hair flying arms,people ask,to new york,three shifts three,thirty seven years,tell our secrets,my scalp peeled,go to morocco,eight feet away,bad puns
83,called my husband,feeling of adventure,downstairs into the,too for emphasis,shift in attitude,with my newfound,and my upbringing,man my family,forty years pass,two thousand thirteen,in my driveway,navigated pushy elbows,within my subconscious,as i sit,life such,i was pleased,so my shrink,this sense of,about my life,and i flung,justified my rudeness,friend from school,in august of,things happen to,question gnawing at,april nineteen,felt so relieved,divides asking questions,grabbed my behind,freedom the feeling,suburban pittsburgh,before nineteen eighty,double doors into,its so interesting,my demure hijab,while in senegal,reach under the,hybrid of bread
84,she said ohhhh,this sense of,the hill towards,suddenly i heard,someone once told,two philosophies,about their life,generations of trauma,i was twelve,in fifteen fifty,on the subway,childhood wound,first dates can,my story begins,lessen the impact,of unbridled joy,dreams and ambitions,the family psychic,i always remember,put his arms,i said fine,like my family,of hopes fears,some feelings when,day at camp,eighteen eighty,put the fear,people feel comfortable,my bed bobbing,my profession,snow in vermont,five years four,of nineteen fifty,the greatest fears,scrubbing pans angrily,in ohio,elbows on,he hoped bread
85,embarrassment she giggled,history lesson,the mirror behind,i said sorry,overcome my ambivalence,just figments of,my whirlwind dating,kindness and humor,i told them,thousand eleven,at the starbucks,put their minds,of their bullying,invite them over,and the hunger,everything my parents,sense of calm,through my mind,of possibilities,flop down on,belief she scoffed,thought my life,her about her,us seemed somehow,boys at school,turning forty,india of myth,felt very relieved,chopsticks flipped and,how it feels,leaving for france,'m twenty eight,pour the,wanna understand life,rough hands groped,around at stanford,looking around corners,fifty percent sawdust
86,look over there,of unbridled joy,towards the bridge,i go mhm,generations of trauma,in college a,about my life,if my mother,you google,october nineteen,along the glass,inspire the happiness,in her mind,we were sitting,independence and freedom,lemme explain,our favorite childhood,religion that you,welcomed new experiences,cupboard moved over,geese she said,in our childhood,i am fifteen,everything that you,of true happiness,i 'm forty,revenge fantasies,rituals for,boots clanking,shift in attitude,beautiful sunny sunday,turning forty,the uh doorway,i remember at,make crusty baguettes,in downriver michigan,mirror behind,criticizing my hairdo
87,i said aha,this conflict between,row of stalls,said hey babe,overwhelmingly surreal sensation,the pettiness of,lives and so,my school days,you can google,two thousand and,in the driveway,would feel liberated,whatever her life,not married we,had two salads,grandma who always,very vivid memories,this strange feeling,on my journey,door close behind,me she said,people whose thoughts,me one day,so my shrink,in my church,nineteen fifty two,felt so betrayed,put their minds,myself straddling,a deep existential,family in brooklyn,six weeks passed,long row of,deserves more empathy,in his beret,visit to israel,sidewalk in front,daughter had suffered
88,other pager buzzed,resonant as metaphor,on a dock,practiced that answer,my upbringing,given my history,pleased with myself,feel the message,her googling myself,hundred sixty,of white fencing,taught me things,childhood in school,six months passed,feelings i had,have to worry,religion my family,me their stories,of emptiness that,sneak up behind,loudly said oh,the family psychic,mix of abject,righteous about anything,sense of humor,at thirty nine,it felt at,the feeling of,patting his back,feel very cool,moved to southern,'s nineteen seventy,divided bering strait,over the years,danced throwing blankets,back to montana,down the embankment,cocky as shit
89,finished laughing,feeling empowered from,down the corridor,single tasteless odorless,i remember sitting,this thought had,hear these stories,shame or regret,told my family,nineteen thity,sprawling green,his hands folded,righteous about anything,that summer of,sense of satisfaction,newfound freedom,but my folks,very vivid memories,childhoods pass so,lay down across,he said sure,father and in,i was thirteen,many things we,my motivation after,eleven march twenty,meaninglessness the fear,shift in attitude,my hand along,uhh um,back in marrakesh,eight hours south,that jutted,i remember sitting,cucumber and mayonnaise,come from israel,that jutted into,knockoffs
90,way she sighed,what it meant,southern shore of,eyes and snickered,a near religious,a disturbing question,of negativity,hear these stories,easter sunday,twenty thousand fifty,at the mall,my whirlwind dating,from his memories,the moment passed,it 's meditative,of the anger,welcomed new experiences,my mother tells,i often wonder,out spun around,surgery i said,but my mother,day nineteen forty,good friends often,like my family,was five thirty,i felt ashamed,what i learned,blonde hair dangling,i was numb,up in finland,her there her,forty one years,realizations were life,eyes got wide,we drove to,by the door,screwed something up
91,smiled i smiled,dad one evening,clouds obscuring the,me she said,it 's meditative,prisoner from rikers,this weird experience,ever be ashamed,drinks i had,fifteen meters fifty,to the sidewalk,growing up we,changes your life,quickly we were,what could possibly,this strange sense,this sense of,way of looking,for years,up behind her,was like bitch,something i remember,i say hey,patients that i,everybody 's ego,hour thirty forty,felt this strange,told my family,into my palm,in the surreal,i drove back,fifty sixty seventy,june of nineteen,childhood wound,bike shoes propped,lived in oakland,across the width,was acting crazy
92,said hey babe,about my life,double doors into,my next words,told my family,channeled their infinitely,and weirdos and,of people so,imagine my joy,thousand sixteen,i was walking,her hands gripped,helped me along,as we finished,looked and looked,were my motivation,my entire childhood,welcomed new experiences,these vivid images,his back turned,canoodling commenced,disgust but pity,was like uh,absorb the lesson,sea of matrimony,about nineteen seventy,at these strangers,feeling of uneasiness,pulled me close,my mother tell,home in minneapolis,was five thirty,table that stretched,my entire life,tumbleweed crabgrass sugarcane,i was overseas,through the windshield,is hooey
93,he turns around,understand the universe,on my bed,said uh hey,of my childhood,feeling of freedom,feel crappy about,i felt triumphant,i was sixteen,nineteen thirty nine,a phone booth,shitty feelings,deserves more empathy,turned and walked,like people always,mother used to,of her thoughts,crises and successes,how childhoods pass,slammed behind us,was like hey,course my mother,what my story,in my family,adherents of,at three forty,a path toward,spend some time,fingers touched,boogie man,touring through europe,eighteen when,a glass floor,my biggest fear,tiny fists clutching,in marrakesh,that flips up,genocide and juice
94,i said oh,the things we,up the hill,twenty minutes thirty,helps the soul,as if a,teachers and family,many things but,was to google,hundred twenty,i was mowing,channel the extra,ways of looking,i start walking,and hobbies,in your life,values and morals,my upbringing,these alternate universes,throws it at,said forget dinner,dreams and ambitions,finally the day,beliefs reflect,my stride,the nineteen eighty,i was fascinated,moments like,the couch elbows,this life of,that in indianapolis,six months passed,the middle console,in college a,one sadako folded,upstate new york,to fifty feet,soaked with urine
95,she then asked,wax philosophical like,hit the railing,am turning forty,i felt nervous,that sense of,ever be ashamed,my parents they,told my friends,thursday november twenty,the backyards,if my parents,me their stories,my sophomore year,my my family,when my family,if my parents,friendship and generosity,grieve what,propped a foot,cried i cried,could ever imagine,i said hey,relieved because,summer of,at thirty eight,between two philosophies,these long existential,tiny fists clutching,i remember after,coast of florida,i said aha,in nineteen forty,the racial divide,shirt the suspenders,in ann arbor,path that jutted,opera bouquet
96,yourself she said,i felt connected,staring out at,suddenly i hear,here we go,newfound self esteem,sharing his stories,no satisfying fantasies,people would ask,hour thirty forty,stone walls and,people whose thoughts,games my mother,here it is,so i sit,patients that i,so one day,felt no satisfaction,been to weddings,against the wall,i said shyly,friend since childhood,like hey girls,from our childhood,pack my bags,i was twenty,i feel intimate,people whose thoughts,extended a hand,my story while,in rural oregon,of april nineteen,of nineteen ninety,newfound self esteem,weird volumous bob,i drove back,down the center,exertion of personality
97,she gasped and,learn in school,the rolling hills,moment she gasped,one night i,an alternate universe,life so that,over my life,i was thirty,two thousand twelve,an overturned cardboard,arms tighten around,of hopes fears,summer after graduation,habits and hobbies,in my childhood,some uhh um,point my shrink,things happen to,reached forward,says uh actually,my worst nightmare,the seventy ninth,reliving a fear,feel something sharp,two thousand two,of the fabled,first dates can,pinning my arms,two feelings that,in northwestern russia,was nineteen seventy,the rolling hills,'s like um,with little suspenders,i flew home,people behind me,macaroni and cheese
98,said oh okay,i was numb,the dark driveway,says oh tricia,mama had said,very moving very,i was nervous,to feel superior,so at eighteen,nineteen oh six,hospital parking lot,righteous about anything,feeling of accomplishment,conversation would ensue,ocean the ocean,something i remember,i was grateful,dreams and ambitions,things about myself,he rolled toward,eighteen i moved,anyway i remember,in nineteen eighty,what our mothers,resonant as metaphor,nineteen sixty two,in the surreal,tell the world,hugged them inhaling,these alternate universes,back to montana,replied age thirty,thousand fourteen,felt very relieved,skirt up so,we were downtown,in the distance,and name calling
99,stopped the interview,name calling,past the waterfall,yourself she said,my childhood had,'s like um,of my troubles,my my mother,feelings i had,at thirty eight,the lagoon behind,as a child,always told myself,thirty we sat,kindness and humor,my imagination,my imagination,sense of satisfaction,somehow enables us,wrapped the rope,embarrassment she giggled,generations of trauma,interest was piqued,people whose ideas,glimpsed the truth,two thousand twenties,felt a wave,we settled into,i leaned down,the way geese,vancouver in canada,at three forty,are steps leading,our differing points,soft green expanse,'m driving to,outside the windows,of failing exams
